Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C2, C5",0603,3,1u,C15849
"C10, C13, C14, C4, C7, C9",0603,6,0u1,C14663
"C11, C15",CP_Elec_6.3x7.7,2,220u,C46550411
"C12, C8",0603,2,22n,C21122
C3,0603,1,10u,C19702
C6,0805,1,22u,C45783
"D1, D16",D_SMA,2,D_Schottky,C22452
"D10, D11, D12, D13, D14, D15, D17, D18, D19, D6, D7, D8, D9",Diode_DFN1006,13,H5VU10U,C22395519
D2,0805,1,GREEN,C2297
D3,D_SMB,1,P6SMB6.8CA/TR13,C78395
D4,D_SOD-123,1,BZT52B3V3,C19077392
D5,D_SMA,1,SMAJ12A,C19077531
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
"R1, R10, R15, R2, R3",0603,5,5k1,C23186
"R11, R16",0805,2,16k,C17490
"R12, R17",0603,2,1k,C21190
"R13, R18, R5, R6, R7",0603,5,10k,C25804
"R14, R19",0603,2,20k,C4184
R4,0603,1,3k3,C22978
"R8, R9",0603,2,22,C23345
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
U1,SOT-23-5,1,AP2112K-3.3,C51118
"U4, U5",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,2,DRV8874,C1855818
