Designator,Mid X,Mid Y,Rotation,Layer
_2,48.0,45.0,0.0,top
,51.0,5.0,0.0,top
C1,5.25,7.5,180.0,top
C10,43.5,14.5,270.0,top
C11,40.8625,24.38,0.0,top
C12,57.25,17.75,270.0,top
C13,58.0,15.5,0.0,top
C14,58.0,13.093615,270.0,top
C15,55.93867,22.973615,0.0,top
C2,5.275,13.8625,0.0,top
C3,9.75,14.5,180.0,top
C4,28.5,4.665,0.0,top
C5,26.25,27.0,0.0,top
C6,5.23,19.775,270.0,top
C7,3.23,19.775,270.0,top
C8,42.25,19.25,270.0,top
C9,43.0,17.0,0.0,top
D1,13.5,14.95,270.0,top
D10,42.5,42.5,0.0,top
D11,22.5,42.5,180.0,top
D12,24.0,41.0,180.0,top
D13,26.0,41.0,0.0,top
D14,27.5,42.5,0.0,top
D15,29.5,42.5,0.0,top
D16,9.5,8.75,90.0,top
D17,16.25,10.75,180.0,top
D18,13.154587,10.8716,180.0,top
D19,18.25,10.75,0.0,top
D2,2.275,13.0625,270.0,top
D3,57.99762,34.217979,0.0,top
D4,28.5,2.25,0.0,top
D5,49.0,34.5,0.0,top
D6,35.5,42.5,180.0,top
D7,37.0,41.0,180.0,top
D8,38.875,41.0,0.0,top
D9,40.5,42.5,0.0,top
J1,17.0,4.5,0.0,top
J2,58.0,39.555,180.0,top
J3,49.0,39.555,180.0,top
J4,12.60614,48.0,270.0,top
J5,37.875,45.0,180.0,top
J6,36.675,10.045,0.0,top
J7,50.75,9.945,0.0,top
J8,25.0,45.0,180.0,top
J9,12.60614,45.46,270.0,top
JP1,39.13,31.2,270.0,top
JP2,34.05,28.66,0.0,top
JP3,54.20617,29.793615,270.0,top
JP4,49.12617,27.253615,0.0,top
R1,10.32,3.0,90.0,top
R10,34.5,23.0,0.0,top
R11,34.5,21.0,180.0,top
R12,8.75,20.75,180.0,top
R13,28.5,18.0,180.0,top
R14,44.508517,30.297882,90.0,top
R15,49.57617,21.593615,0.0,top
R16,49.57617,19.593615,180.0,top
R17,13.75,19.5,180.0,top
R18,43.75,40.25,270.0,top
R19,59.584687,28.891497,90.0,top
R2,24.32,4.95,90.0,top
R3,2.275,9.1375,90.0,top
R4,28.5,6.75,0.0,top
R5,26.25,25.0,180.0,top
R6,28.5,8.665,0.0,top
R7,28.75,36.25,180.0,top
R8,19.01,18.5,270.0,top
R9,16.5,18.5,270.0,top
SW1,28.75,33.25,0.0,top
SW2,26.25,22.0,0.0,top
U1,5.275,10.8625,270.0,top
U3,10.14,32.1,90.0,top
U4,36.5,17.106385,270.0,top
U5,51.57617,15.7,270.0,top
